date,Shop_1
10/22/2022,2.4
10/23/2022,1.7
10/24/2022,1.7
10/25/2022,2.2
10/26/2022,1.8
10/27/2022,2.8
10/28/2022,2.5
10/29/2022,2.1
10/30/2022,2.6
10/31/2022,2.2
11/1/2022,1.8
11/2/2022,2.4
11/3/2022,2.3
11/4/2022,2.6
11/5/2022,3.1
11/6/2022,1.9
11/7/2022,1.8
11/8/2022,1.8
11/9/2022,2.4
11/10/2022,2.5
11/11/2022,3.1
11/12/2022,2.3
11/13/2022,1.4
11/14/2022,1.2
11/15/2022,2.4
11/16/2022,2
11/17/2022,3.7
11/18/2022,2.3
11/19/2022,3.3
11/20/2022,1.7
11/21/2022,0
11/22/2022,2.4
11/23/2022,1.7
11/24/2022,4.3
11/25/2022,4.4
11/26/2022,4.9
11/27/2022,2.7
11/28/2022,2.1
11/29/2022,2.6
11/30/2022,2.4
12/1/2022,3.6
12/2/2022,2.4
12/3/2022,3.8
12/4/2022,2.2
12/5/2022,2.1
12/6/2022,3
12/7/2022,2.2
12/8/2022,3.7
12/9/2022,3.4
12/10/2022,4.3
12/11/2022,2.9
12/12/2022,2.7
12/13/2022,3.2
12/14/2022,3.9
12/15/2022,4.9
12/16/2022,4.4
12/17/2022,5.1
12/18/2022,3.6
12/19/2022,4.4
12/20/2022,4.6
12/21/2022,6
12/22/2022,8.4
12/23/2022,9.2
12/24/2022,5.9
12/25/2022,0
12/26/2022,3.6
12/27/2022,2.6
12/28/2022,3.3
12/29/2022,4.2
12/30/2022,4
12/31/2022,3.5
